日期及型号,评论
2025年1月7日 · 【边充边玩】标准版+Hub套装,以前也尝试过索尼的头显hmz-t2，厚重，画面油腻。现在十多年过去了，头显的进步还是蛮大的，现在是AR眼镜，虽然遮光不如VR眼镜，但是轻很多。得益于自研x1芯片，3dof使得悬停模式很赛博，云台模式晃动很平滑，同时看外界事物不用摘眼镜。我是掌机爱好者，眼镜主要也是用来连接掌机。不论是安卓掌机还是PC掌机，连接都非常方便，不用外挂电源，一根自带原线搞定，效果拔群，只是多耗电一些，外围功耗2w这样，还可以接受，奥丁2mini连眼镜也能玩3个小时左右，观影和玩游戏都够用，也能买hub套装接电源无限续航。总之我对xreal one整体满意，再改进调光和支持左右半宽3D电影就更棒了…
2024年12月23日 · 【DP直连】标准版,作为上一代air2 pro的老用户，一出新的one就马上更新了新的。主要是看重他更新的新功能，包括自动悬停和跟随模式。  上一代还需要连接外接设备才能悬停，这一代直接集成在芯片里。而且更惊喜的是没有增加太多重量，佩戴没有感知。因为我主要是用来连电脑，手机，win掌机延迟还是很重要的。直连的话，延迟现在可能会有改善。另外就是直接连手机的话，调节屏幕大小也很直接，看视频什么的，很便捷。  显示效果的话，因为佩戴的时间还不多，整体上感觉亮度更亮了一些。视场角好像稍微大了一些，这个需要再多体会一下，总体感觉还是有非常明显的进化的，值得升级。这样子不管是在家还是出差在外，都一根线搞定。
2024年12月23日 · 【边充边玩】标准版+Hub套装,我是第一次购买AR设备，在网上对比了很多眼镜，感觉眼镜才是以后AR的最终形态，体验比预想的好太多了，很惊艳。XREAL One 外观时尚，重量轻，佩戴舒适。索尼 Micro-OLED 屏色彩绚丽、清晰度高，画面畸变控制佳。X1 芯片加持，定位准、延迟低，游戏观影超流畅。音频与 Bose 合作，立体音效棒且漏音少。在观影方面，它能提供巨幕般的视觉享受，让用户仿佛置身于私人影院之中。在游戏场景下，低延迟和高刷新率能够让玩家获得更加流畅的游戏体验，增强游戏的沉浸感。办公时，可将其作为副屏使用，开启悬停模式或小窗模式，实现多屏办公，提高工作效率。办公观影游戏皆能轻松驾驭，实用且有趣。
2024年12月25日 · 【DP直连】标准版,一个人在宿舍，没有条件用大屏幕，买个ar眼镜真的是不错的选择，也很有私密性，更关键是不发光，晚上室友都睡觉了，有的睡眠比较敏感，以前会说你电脑屏幕太亮，现在玩再晚都不怕影响他们。而且只用一根数据线就直连电脑，用起来是相当的方便，有了转换器，玩掌机还可以边充电边玩，也是不错的呢。美中不足是，我用的苹果手机比较老，不支持直连，不过lighting头也是已经被淘汰的设计了，不支持也正常。再就是近视的小伙伴一定要配好镜片，我被我这边眼镜店验光坑了，散光度数没配够，看屏幕一直花花的……其它就真的体验都一切很好，总之是不错的体验。也希望ar眼镜能一直继续发展，能越来越轻薄，功能越来越多！
2024年12月24日 · 【DP直连】标准版,下单后发货很快，当天下单第二天就到了，包装和手机盒子差不多大小，重量很轻 观影效果：有了3of芯片加持，屏幕不会和头一起晃来晃去了，云台模式也很实用，1080p显示效果很不错，主要屏幕非常大比普通几十寸的屏幕强多 了 舒适度：重量很轻，适合长期佩戴，不像vr眼镜那样笨重，不过主打的功能也不一样 操作难易：有四个按键和屏幕系统ui，上手后操作很方便，能调节透明度很实用，三档变色可以在户外也能使用 做工质量：做工不错，没有小作坊的痕迹，用料比较扎实 外形外观：和普通墨镜外观区别不大，就是镜腿稍微厚一点，镜框也大了一圈，不过影响不大 其他特色：有宽屏模式很震撼，也能当笔记本或者平板副屏很实用
2024年12月26日 · 【DP直连】标准版,我是第一次购买AR设备，在网上对比了很多眼镜，感觉眼镜才是以后AR的最终形态，体验比预想的好太多了，很惊艳。新品XREAL One外观时尚，重量轻， 佩戴舒适。索尼Micro-OLED屏色彩绚丽、清晰度 高，画面畸变控制佳。X1自研芯片加持，定位准、延迟低，游戏观影超流畅。天生3DoF，音频与 Bose合作，立体音效棒且漏音少。在观影方面，它能提供巨幕般的视觉享受，让用户仿佛置身于私人影院之中。在游戏场景下，低延迟和高刷新率能够让玩家获得更加流畅的游戏体验，增强游戏的沉浸感。办公时，可将其作为副屏使用，开启悬停模式或小窗模式，实现多屏办公，提高工作效率。办公观影游戏皆能轻松驾驭，实用且有趣。
2025年1月1日 · 【DP直连】标准版,用了也算蛮久了，综合来说一下使用感受吧。总体来说都还是可以的，分辨率也够用。但是可视范围稍微有点差强人意。如果距离选10米，然后尺寸选最大的话那就没办法全幅显示画面，只能够不断的移动头部看才能看到各个角落。不过我大部分时间都是连接手机来追番，偶尔才连接电脑。连接手机的话，总体来说是完全够用了的。然后如果连接电脑的话画面显示就有点差强人意。不知道为什么连接电脑画幅比手机大，刷新率也不算太高。顺便说一嘴，如果眼镜盒稍微做大一点，然后把连接线和眼镜能够做到分区的话就更好了。毕竟现在这个眼镜盒的大小，如果想把眼镜跟数据线放一起的话，只能是像我现在图片里拍的这样，多少是有点担心镜片时间久了会留下划痕。
2025年5月5日 · 【非DP设备推荐】Beam Pro256G套装,家人们，我最近入手了Xreal one ar眼镜，必须分享一波！它外观时尚，设计借鉴经典墨镜，线条流畅，黑色机身搭配银色装饰，简约又高级。镜框能拆卸，方便换风格，重量仅82g，戴一整天都没负担。 显示效果超赞，用的Sony Micro-OLED屏幕，1080p分辨率，画面清晰锐利 ，色彩鲜艳。50°视场角，等效4米117英寸投屏，最大10米367英寸巨幕，在家看电影跟在影院似的。 它还搭载自研X1芯片，实现原生3DoF空间定位，画面超稳，M2P延迟最低3ms ，智能补帧让刷新率最高达120Hz，玩游戏很流畅。 音效也不错，定制声学器件搭配Bose团队调校，环绕立体声很有沉浸感，还有远场消音技术，不怕漏音。
2025年1月29日 · 【DP直连】标准版,先给个五星好评，比其他ar眼镜方便，可以调节电致变色，可以一线直联支持的手机，不用beam之类的外接设备。几乎天天晚上带着睡觉看电视，玩rog掌机。体感很好。 过几年产品更好了，这款应该属于甜品及的快销。以下是个人建议 不过最终人们对于ar的幻想可能还需要研发， 一是虽然有那么大的画面可惜，不能全部入眼。有部分画面的缺失要转头才能看到。 二就是如果有线变无线就更牛掰了，带着线睡觉总怕缠脖子和把线弄坏，希望产品越来越好。没拍照片，使用看视频很清楚。打游戏也完美。 买这个产品的初衷，准备买49寸大显示器的打游戏的。这款基本替代了，还能随身携带，又省电，就是上面两点如果能对标这种大显示器，那将是绝对的搏杀，显示器又得降价了。
2025年1月26日 · 【DP直连】标准版,最早是在2022年影视飓风nreal种草，现在nreal改名叫xreal了。一直在关注新品，现在xreal one自带裸机3Dof悬停是挺好的，作为户外出差休息时是挺好用的，作为一个隐私性较强的移动大屏幕设备挺不错，目前觉得这款设备挺好的补充了我的使用场景。  美中不足希望后续产品能改进的是以下几点，1.我家人反馈头部跟踪模式图像太靠下显示不全，我猜测可能是眼镜戴的不准 2.同时也反馈太重，虽然只有80多克，重心可能太靠前？和普通20克眼镜对比，鼻托是确实有不适感。希望后续改进。 3.iPhone无线投屏可能需要改进，很卡。 惊喜的点是在这个beam pro的空间摄像功能，这个立体感还是眼前一亮的感觉。本人多年VR玩家。
2024年12月15日 · 【DP直连】标准版,XREAL One 是一款令人眼前一亮的消费级 XR 眼镜，整体表现非常不错。  它的优点非常明显：首先，它搭载了自研的 X1 空间计算芯片，实现了画面在空间中悬停的功能，让使用体验更加自然。显示效果也很出色，采用了 Sony Micro-OLED 屏幕，分辨率高、对比度强，再加上宽视场角，无论是看电影还是玩游戏，都能提供沉浸式的视觉享受。音效方面，经过 Bose 团队调校，声音清晰立体，非常适合喜欢高品质体验的用户。更棒的是，它设计轻巧，佩戴舒适，即使长时间使用也不会觉得累。?  当然也有一些不足：目前只支持 3DoF，和更高端的 6DoF 设备相比，功能上会有些局限。还有我这一批次没有打sound by BOSE的标志?
2024年12月16日 · 【DP直连】标准版,自从2015年在迪拜了第一个三星的VR眼镜后，后来又买过Oculus、华为、GOOVIS、雷鸟、VITURE等，早期最主要的问题是国内必需VPN才能使用，后来的问题是内容太少，用途主要就是看视频，随着苹果头显发布后，3DoF悬停和小型化今年成了热点，双十一前先买了VITURE结果还买了一堆配件（连接iPhone15Pro的、连接iPhone14Pro之前的配件、再买了颈环、还有连接switch的配件）价格都很贵，加起来又是一个眼镜的钱了，火的，看Xreal ONE新品发布果断首发买了，效果还不错，最大的好处是原生3DoF不需要带一堆的配件，就是附赠的眼镜盒子没有VITURE的精致和跟数据线缺少了个磁吸隔开的设计，总体还是挺好的。
2025年6月6日 · 【非DP设备推荐】Beam Pro256G套装,已经在用了 非常棒！既可以当出门时的生产力工具 也可以在家看大片 屏幕非常大但是办公用时字迹又很清晰（有加定制镜片） 云台和固定模式切换也非常好用 还有超宽屏 还不需要额外设备辅助 非常满意在这个价位能有这样的功能和效果 可以说是近期最值的一次投资了 期待Xreal eye到货后能让空间定位更上一层楼 （6Dof）  缺点我也说一下吧 从眼睛底下照进的反光还是可见的 尤其是穿白色衣服的时候（听说one pro会解决这个问题？不着急用的话可以等下One Pro）看起来还是有点显大 穿戴出门还是比较显眼的（听说One Pro会好些？）Beam Pro的应用比较少国区版也没有google play store 但是总体来说 不太影响使用
2024年12月24日 · 【非DP设备推荐】Beam Pro 128G套装,Xreal One着实是一款令人眼前一亮的产品呀，它独具匠心地自带云台这一出色配置，使用体验相较于之前的产品实现了质的飞跃呢。当你长时间使用它的时候，会惊喜地发现眼睛几乎不会感觉到难受，仿佛它贴心地考虑到了用眼的舒适感，让你能尽情沉浸其中。而且呀，它所展现出来的画面那叫一个精彩，清晰细腻、色彩*真，每一处细节都处理得恰到好处，为你带来绝佳的视觉享受。  当然啦，任何产品在发展过程中都有不断进步的空间，Xreal One自带的系统目前虽已具备一定基础，但仍有可以继续打磨提升之处，还有在云台模式下，个别细节方面也还有进一步优化的潜力，不过这丝毫掩盖不了它诸多亮眼的优势，相信随着后续的不断完善，它会更加完美，给用户带来更超预期的使用体验哦。
2024年12月21日 · 【DP直连】标准版,之前预定过Air 2，体验不好就退了，浪费了一副配的镜片，这次看到出的新品，还是打算支持一下，但是之前的配镜又不通用�，又得花钱重新配，这种时刻就无比羡慕不近视的人～ 收到新配的镜片之后用了两天，看电影超级清晰，音响效果也可以，音量有待加强，如果在地铁上不知道还能不能听见～还有一点：这个眼镜的设计师一定不近视吧，你没有看过安装镜片后的完全体吗？镜腿合上之后就会碰镜片，勉强可以塞进眼镜盒，反正不能每次看完都拿下来，用的时候再装上吧！ 还有一点不支持安卓系统的息屏使用，试了 iPad 可以，希望后续可以更新吧！最后还是决定留下来用，比上一代感觉各方面都加强了！明年应该是AR眼镜的爆发年，看各大厂商按照雷朋智能眼镜的模式能设计出什么样好玩的眼镜
2025年1月23日 · 【DP直连】标准版,xreal One着实是一款令人眼前一亮的产品呀，它独具匠心地自带云台这一出色配置，使用体验相较于之前的产品实现了质的飞跃呢。当你长时间 使用它的时候，会惊喜地发现眼睛几乎不会感觉到难受，仿佛它贴心地考虑到了用眼的舒适感，让你能尽情沉浸其中。而且呀，它所展现出来的画面那叫一个精彩，清晰细腻、色彩*真，每一处 细节都处理得恰到好处，为你带来绝佳的视觉享受。当然啦，任何产品在发展过程中都有不断进步的空间，xreal One自带的系统目前虽己具备一定基础，但仍有可以继续打磨提升之处，还有在 云台模式下，个别细节方面也还有进一步优化的 潜力，不过这丝毫掩盖不了它诸多亮眼的优势，相信随着后续的不断完善，它会更加完美，给用户带来更超预期的使用体验哦。
2024年12月31日 · 【DP直连】标准版,Xreal的新品One真的没有让人失望，之前用过同事买的AR眼镜，那叫一个难受，用一会就头晕目眩。Xreal One不愧是德国莱茵认证的，佩戴舒服而且使用一点头晕的感觉没有，还可以根据自己喜好调节眼镜里屏幕的距离和大小。现在不怕看的时间长，只觉得手机的电量不够用了。买它还看中了内置芯片可以脱离盒子就能实现3Dof空间悬停，这个功能简直太好了，应该是每个AR眼镜不可缺少的功能，让AR眼镜融入我们生活工作中，可以一边追剧一边干别的。非要说Xreal One缺点的话，那就是自带的说明书不够详细，第一时间拿到手不知道该干嘛，希望以后能够改进。还有一点，希望Xreal以后能把手机通话和翻译机的功能加入到产品中，使它不再只是单纯的娱乐工具而是真正的生产力工具。
2025年4月28日 · 【非DP推荐】Beam Pro 128G套装,"这个产品的效果非常好，佩戴时不头晕，也不夹脑袋。整体做工非常精致。它有两种屏幕类型，一种是弧形屏幕，另一种是方形屏幕，可以调节距离和画面，保持锁定不跟着脑袋转。还有一种云台模式，可以调整角度，佩戴时不头晕。整体来说效果非常好，可以直接连手机使用。内置的芯片，让原生3DoF悬停不再依靠外设,显示上也有很大的提升，相较于其他产品提供了全新的体验，它的重量83克适中，长时间佩戴不会有过重的负担，镜腿上的按键布局合理，操作方便，音质给我的感觉还是相当饱满的，看了很多款眼镜，这是最像AR眼睛的一款。只需轻松连接支持DP输出的USB-C接口设备，即可解锁3DOF画面悬停、防抖、以及超宽屏显示等强大功能。您还可以自由调节画面的大小与观看距离，享受50°FOV超大视场角"
2025年1月23日 · 【DP直连】标准版,用了雷鸟air3，魅族starv，xrealone，简单说下自己的感受 舒适度：starv＞air3＞xrealone(头大) 观感度：xrealone＞air3＞starv 音效：xrealone ＞starv＞air3 功能：xrealone ＞starv＞air3 价格：xrealone＞starv＞air3 如果不在意价格还是推荐xrealone，画质真的不错，可调瞳距，屏幕尺寸可调，投屏玩switch非常的不错，可以躺着玩，不用再握着手机或者switch。还不用下载app。有个缺点必须吐槽，音量必须进去菜单才能调节，或者从设备上调，太不方便了，希望能更新下。最后提醒玩switch的，ult和部分三方转换器暂时不能链接，等更新吧，现在用推荐海备思的，好用。
2025年6月5日 · 【DP直连】标准版,我是第一次购买AR设备，在网上对比了很多眼镜，感觉眼镜才是以后AR的最终形态，体验比预想的好太多了，很惊艳。新品XREAL One外观时尚，重量轻，佩戴舒适。索尼Micro-OLED屏色彩绚丽、清晰度 高，画面畸变控制佳。X1自研芯片加持，定位准、延迟低，游戏观影超流畅。天生3DoF，音频与 Bose合作，立体音效棒且漏音少。在观影方面，它能提供巨幕般的视觉享受，让用户仿佛置身于私人影院之中。在游戏场景下，低延迟和高刷新率能够让玩家获得更加流畅的游戏体验，增强游戏的沉浸感。办公时，可将其作为副屏使用，开启悬停模式或小窗模式，实现多屏办公，提高工作效率。办公观影游戏皆能轻松驾驭，实用且有趣。我的主要目的是连接电脑，替代显示器，这样躺在床上就可以提现大屏，很好，达到我的预期。
2025年1月9日 · 【DP直连】标准版,我是第一次购买AR设备，在网上对比了很多眼镜，感觉眼镜才是以后AR的最终形态，体验比预想的好太多了，很惊艳。新品XREAL One外观时尚，重量轻， 佩戴舒适。索尼Micro-OLED屏色彩绚丽、清晰度 高，画面畸变控制佳。X1自研芯片加持，定位准、延迟低，游戏观影超流畅。天生3DoF，音频与 Bose合作，立体音效棒且漏音少。在观影方面，它能提供巨幕般的视觉享受，让用户仿佛置身于私人影院之中。在游戏场景下，低延迟和高刷新率能够让玩家获得更加流畅的游戏体验，增强游戏的沉浸感。办公时，可将其作为副屏使用，开启悬停模式或小窗模式，实现多屏办公，提高工作效率。办公观影游戏皆能轻松驾驭，实用且有趣。我的主要目的是连接电脑，替代显示器，这样躺在床上就可以提现大屏，很好，达到我的预期。
2024年12月15日 · 【DP直连】标准版,从第一代 Nreal Air 到如今的 Xreal One，见证了这个品牌一路走来的成长与进步，让人由衷感叹它的专注与创新精神。  Xreal One 在技术与用户体验上达到了一个全新的高度，尤其是在色彩表现方面堪称惊艳，极具视觉冲击力。同时，与 Bose 的联手将音质提升至全新境界，带来了沉浸式的聆听体验，再加上对 杜比视界 的支持和 120帧 的高刷新率，真正让画面栩栩如生，流畅至极。此外，产品还通过 3DoF 的稳定性优化，让使用体验更加自然与舒适。  可以说，Xreal One 几乎弥补了以往的所有不足，成为了一款极为成熟的 AR 眼镜产品。这种不断精进的态度，不仅体现了品牌对品质的追求，也让消费者对未来更充满期待。希望 Xreal 能继续保持这样的势头，为我们带来更多卓越的产品。
2024年12月15日 · 【DP直连】标准版,在购买之前对比了多家，最终选定Xreal one。Xreal one操作非常便捷，连接手机和游戏机很方便，只需要把自带的连接线插到手机或者游戏机即可。Xreal one是新上市的新品，眼镜有搭载了自研芯片，天生3dof，这也是这幅眼镜最吸引我的地方。 佩戴体验非常的好，戴了好长一段时间没有觉得头晕等不适感。Xreal one用于观影画面很清晰，就像在电影院看电影一样，非常棒的视觉体验。 在高铁上戴上Xreal one观看了一部自己喜欢的电影，这种感觉真是太好了，也不用担心外面的光线太强，因为Xreal one可以三档电致变色。  另外用Xreal one自带的连接线，连上Xreal one和Nintendo Switch，太享受这种沉浸式游戏体验了。综合体验过后，感觉Xreal one 达到了我的要求，值得大力推荐。
2025年7月17日 · 【DP直连】标准版,直接说说体验吧，上手简单，自带3Dof确实方便很多，能仅靠眼镜本体实现屏幕空间悬停，帧率高画质高，云台防抖也做得很好，可以热插拔（建议熄屏后再拔出接口），随插随用，只要是带typeC的基本都能使，使用一段时间会略微发热但不影响使用，不会有较大压迫感，镜面反光基本没有，三档电致变色能适应大部分使用情景。     对于想要用这个眼镜作为PC端FPS游戏显示器的需要慎重考虑，最好用悬停功能进行游戏，如果两眼度数相差过大会导致根本看不清人，得配个眼镜使用。其次长时间盯着看会导致摘下眼镜后的一段时间内视线模糊，不建议买来作为生产力，但是当做一款观影眼镜是绝对好使的。     连接其他设备时可能会出现鼠标显示位置与实际点击位置不符的情况，大概率是应用本身问题，可以把应用调至窗口模式然后调整分辨率让鼠标实际点击位置与显示位置重合。
2024年12月19日 · 【DP直连】标准版,xreal one到手了。上面有自研芯片x1，科技含量满满，刚拿到手时候还是很兴奋的！ 使用下来感觉更像是一个完整的显示器了，连按按键时候的操作界面和功能设置逻辑基本都跟显示器类似！有悬停和云台两种模式，悬停模式是指虚拟的窗口固定在空间中不跟着头动，更像是真的显示器。这种模式下有一个超宽屏模式，这个模式体验很神奇。有几点不足：1. 我连电脑用的时候转头看电脑因为电质变色是看不到自己的电脑屏幕的，而正常外联显示器是显示器和电脑屏幕都能看到，这一点不合理，我因为买了个显示器所以电脑屏幕不能用了？可以做到不现实虚拟画面时候电质变色变成透视模式。2. 超宽屏切换有些麻烦，如果稍微有些断连得重新设置，很恼人。3. 画面延迟很低，但是应该是显示通路做了额外处理，画面清晰度有所降低。4. 建议还是得软硬件一体化，单纯硬件没法完全发挥硬件科技的全部能量。
2025年3月30日 · 【非DP设备推荐】Beam Pro256G套装,客观的评价一下这个眼镜。首先，这是一个真正意义上能用的ar，它满足了我对增强现实所有的基础幻想。缺点也是有的，比如家中光线不足，观察现实环境还是有些受阻，室外明亮环境下，三挡变色墨镜有些不够用，可能5挡变色更符合实际情况，同时显示器亮度还是差了点，最大亮度再提升一些会更完美。眼镜的耳机不是骨传导，其实要差评。嘈杂环境下，需要音量开的很大，这种情况下，漏音很严重，可以的话，还是做骨传导更好一些。 beam pro可以方便使用vr空间应用，但是应用少，性能差，确实是可有可无，并且电池太小，用眼镜在室外刷抖音，2小时候左右耗尽电量。beam pro的控制器，在注视前方的场景下对好用，但是躺在床上看天花板，控制器就不好控制指针了。不确定未来能否软件优化，还是需要硬件重构。 很现实的情况，现阶段无论哪种方式使用眼镜，你都需要一个大容量充电宝保证续航。
2024年12月19日 · 【DP直连】标准版,保持了XREAL一贯在线的审美，非常时尚的太阳镜造型。以前几款眼镜靠的是贴纸改变款式，这次在外观上ONE设计了一套“换皮”新玩法通过卡扣的设计可以快速安装更换装饰框，这下外观的玩法也一下子多了起来，下附官方海外放出来的一些示意图（P.S.有些夸张的装饰框可能会苦了鼻梁）  整机84g，如果拿掉外面的装饰框，还可以轻5克，虽然在现在卷重量的大背景下不太占优势，但配合新的鼻托可调节设计和相对合理的前后配重下，也可以支持较长时间的舒适佩戴了，至少看完一部电影下来没有什么不适感。唯一可能就是发热位置放在了两眼中间眉心处，看完2个多小时的电影会有略微的温热感，考虑到对后续外接摄像头配件也在这个部位，对是否会加重发热量还是有一丢丢的担忧。当然如果是说对比rokid lite的烤眉心的发热来说还是感受不太不明显的。 总的来说，应该是2年内没有什么对手了这个品类感觉
2024年12月14日 · 【DP直连】标准版,自从再蔚来汽车哪获得了第一副XREAL眼镜，从此就入坑了，从1代眼镜到2代Pro，再到beam，直到现在的one，每一代产品都给我带来了不同的惊喜。这款最新的XREAL眼镜在墨镜部分的设计上更加轻薄，佩戴起来几乎与普通墨镜无异，自然而不突兀。音质方面这次和bose合作后有着显著的提升，为我提供了沉浸式的听觉享受。鼻托的优化也是一大亮点，佩戴起来更加舒适，长时间使用也不会感到压迫。 最让我感到惊艳的是原生3DOF功能，从此不用再链接beam真正的一线通，它极大地提升了我的使用体验。所有现实参数都能在眼镜里调整，无论是屏幕距离、大小还是带鱼屏模式，都能再眼镜腿上轻松搞定，让我在观看视频或玩游戏时都能获得最佳视角。搭配PC掌机，游戏体验更是达到了新的高度，不再有晕眩感，让我能够完全沉浸在游戏世界中。这款眼镜的改进和创新都让我感到非常满意，期待国货品牌未来能带给我们更多的惊喜。
2025年1月18日 · 【DP直连】标准版,优点： 1。接电脑反倒是体验更好，可以用鼠标操作。 2。很多人说看字不清楚，我觉得完全没问题，你把画面调近了，完全可以。 3。结合DP/HDMI+转换器+小主机可以变成个人影音中心。 4。候机的时候看片不错。 5。小屏幕模式希望可以自定义任意位置，还有那个墨镜要是可以只对显示区域加黑那就方便透过眼镜看路了。 6。我本身眼镜是很小的那种，所以不用配镜刚好可以用。  问题： 1。这东西挺费电的，2w左右的功耗，接iphone 15 pro max 5分钟一格电的速度。 2。这个眼镜摘掉会休眠，但是有时就是换不醒必须重新插拔。 3。鼻托选的最高，还是觉得不够高。 4。防抖功能不实用我关了，还因为会晕。 5。戴着走路很晕，像新配的近视镜一样�很晕。 6。不知道为啥戴眼镜会特别困。 7。与ios设备连接有个问题就是不能锁屏，而且触摸得通过手机屏幕，用起来不方便。  总体来说还行。
2025年2月6日 · 【DP直连】标准版,试用了一会 说下试用感受： 1、电致变色功能很好 基本可以遮挡95%光线 提高沉浸感 但是因为不是AR包裹式 眼镜下部还是可以看到灯光 最好还是在弱光线下使用效果更佳 2、大屏体验没有那么惊艳 但是也很可以 至少比看电视要好 相当于手机贴脸10-15cm的样子 感觉就像在电影院吧 第一次接触的人感觉很爽 3、直连设备分辨率清晰度不如手机和电视 色彩有点偏亮 我把画质优化关上后 色彩和手机才差不多（感觉有点反向优化了） 然后光线强的地方就算开启三挡电致变色 也能感受到一点频闪 这又降低了画质表现（我躺着把屏幕投影到房间灯的位置和左右） 4、3dof还是可以的 悬停模式适合正常打游戏观影 就是一个屏幕 悬停模式有防抖 基本上频率高的小抖动（比如抖腿）还是不会影响画面抖动 不会头晕 5、目前没有长时间佩戴，还算比较舒适，能感觉出重量，但是没有很重的感觉，空气鼻托还是挺舒服的，眼镜发热是镜框往上发热，佩戴时感觉不到。
2024年12月19日 · 【DP直连】标准版,"AR重度使用者真实体验感受 1、使用场景 躺着看电影>通勤（打车或地铁）>旅游长途>出差 最常用的就是在家躺着看电影，看电视不能躺平，看手机得用手抬着屏幕还小，用了XREAL眼镜就可以躺平看大片。平时打车的时候也可以带着看电视剧，不耽误，手不酸，对我来说是刚需了。我完全不会用于办公，实话实说啊。 2、使用感受 本人是从一代air一直就用到现在，刚开始还用Beam玩3Dof玩一下游戏，后面嫌麻烦，基本都在看电影，one刚发布自带3dof,我觉得刚需来了，立马下单，新增的【云台防抖】模式简直惊喜；最大的感受就是，可以少带一坨尿袋出门了，以前要么放弃3dof，要么多带坨尿袋，还多一根线，非常繁琐，而且beam装包里还容易发烫，现在真的解决了这个问题，终于啊 3、吐槽点和缺点 配了镜片以后，镜片会贴的离眼睛很近，很不舒服，调整了鼻夹好一点点，对近视人群很不友好，眼镜收起来 的时候镜腿还会压到镜片。收纳包没有了线的隔层，总会担心线头磨损到镜片。希望后续产品会改善"
2025年1月6日 · 【DP直连】标准版,第二次买的AR眼镜，这代更新很大，解决了上一代很多痛点，也出现了一些上一代原本没有的问题 优点： 1.首先自带3DOF模式，完全可以不带BEAM就可以实现，这点非常好评，所有品牌AR眼镜独一份，极大强化了使用体验 2.更大的FOV角度可以在更近的距离内看到更多的内容，每代的更新这一项是非常的重点目前已知在售最大，下一代one pro实在是等不及，听说达到57度 槽点： 1.镜腿会压到近视镜片，客服说不会磨损，但还是忍不住会担心 2.我是折叠屏用户，折叠屏切换显示方式的时候，时常断联，官方应该注意到这点，买来眼镜需要更新的时候特意提到了这点，可能是因为内置芯片的原因，连接平板和steam deck就不会 3.额外购买的HUB扩展坞，就是能让你设备能边充电边输出画面给眼镜，如果用的是智能充电头会无法充电，可能识别不了这个扩展坞，用设备原装的充电头可以  希望xreal能越做越好，AR眼镜就应该在便携的方便的前提，做的越来越好，希望以后能看到出现一个类似viture的颈环的beam
2024年12月13日 · 【DP直连】标准版,收到xreal one的那一刻，我就被它的包装设计给惊艳了。包装盒简洁而时尚，每一处细节都透露着品牌的精致与用心。打开包装，xreal one就静静地躺在里面，整体和之前一样简约好带。 上手体验后，我发现xreal one的流畅度和舒适度真的超出了我的预期。它的设计和平常的墨镜一样很好穿搭，整体造型时尚也不突兀，线条流畅，佩戴时几乎感觉不到负担。 镜腿镜框连接处的一抹银色，展现出低调而奢华的质感，无论是在日常生活还是商务场合使用，都能彰显出用户的品味。 使用起来，xreal one的操作界面流畅，响应速度快，无论是滑动屏幕还是切换应用，都毫无卡顿，感觉就像在滑冰一样顺滑。 特别是玩游戏的时候，画面切换自如，一点都不拖泥带水，体验感满分。音质也很棒，听音乐的时候，声音清晰，低音深沉，高音不刺耳，整体效果很满意。 以前就用air2出门旅行，飞机上都靠它了，这次升级更符合我的要求。 总的来说，xreal one给我的体验就是：流畅、舒适、好用。从包装到产品本身，都充满了设计感和科技感，不错。
2025年5月9日 · 【DP直连】标准版,说实话，买XREAL One之前我纠结了小半个月——毕竟谁家钱都不是大风刮来的，但用了两周后我只想说：这玩意儿真的能处！ 先说最爽的看片体验！以前挤地铁总得举着手机看到手酸，现在戴上眼镜直接眼前投出个100多寸的巨幕，连同事吃煎饼果子溅到屏幕上的油星子都看得清清楚楚（别问为啥这么清楚，社畜的痛）。周末赖床拿它连Switch玩《塞尔达》，好家伙，林克射箭时草叶晃动的细节比我家4K电视还细腻，关键躺着玩还不会得颈椎病！ 最让我惊喜的是佩戴舒适度。我这种塌鼻梁戴普通眼镜总往下滑，但这货的鼻托居然能掰弯调节，配上跟AirPods差不多轻的重量，有次追《庆余年2》连看四集都没压出红印子。健身房撸铁时戴着也很稳，跑步机坡度调到10都没滑落，边跑边眼前悬浮着B站课程指导，感觉自己像个科幻片主角。 工作场景更绝了！用Type-C线直连笔记本，眼前立刻展开三个悬浮窗口：左边微信回消息，中间改PPT，右边还能挂着监控数据表。老板突然要开会？手指在镜腿上一划就能切回现实视野，比摸鱼神器还隐蔽（但打工人还是要认真上班哈）。
